ahe year bachelor female age
24.0384616852 2008 1 0 28
36.5384597778 2008 1 1 34
15.3846149445 2008 1 1 31
9.6153850555 2008 1 0 30
21.9780216217 2008 1 1 31
17.3076915741 2008 1 0 32
24.0384616852 2008 0 0 33
11.0586538315 2008 0 0 33
8.7912092209 2008 0 0 26
9.846154213 2008 1 0 26
34.8557701111 2008 0 0 32
12.286324501 2008 0 1 25
22.6495723724 2008 0 0 34
19.7115383148 2008 1 1 31
14.0056018829 2008 0 0 31
26.9230766296 2008 1 1 32
28.8461532593 2008 0 0 34
24.0384616852 2008 0 1 28
11.9791669846 2008 0 1 32
11.0576925278 2008 0 1 32
15.3846149445 2008 0 0 29
11.5384616852 2008 0 1 33
11.0576925278 2008 1 0 32
18.75 2008 1 1 33
16.3461532593 2008 0 0 28
14.4230766296 2008 0 0 29
8.2417583466 2008 1 1 28
13.5135135651 2008 0 0 28
14.4230766296 2008 1 0 26
7.2115383148 2008 1 1 30
13.6363639832 2008 1 0 32
14.4230766296 2008 0 0 33
10.3296699524 2008 1 1 25
13.6752138138 2008 1 1 31
30.7692298889 2008 0 0 29
17.0940170288 2008 0 1 25
13.7362632751 2008 1 1 30
18.0769233704 2008 1 1 33
5.7692308426 2008 0 0 34
12.3076925278 2008 1 1 26
15.8653850555 2008 0 1 33
11.5 2008 0 0 25
12.0192308426 2008 0 0 34
9.6153850555 2008 0 1 31
21.9780216217 2008 1 0 26
16.1538467407 2008 0 0 26
17.8571434021 2008 0 1 34
9.6153850555 2008 0 0 30
21.6346149445 2008 0 0 28
40.8653831482 2008 1 0 34
31.25 2008 1 1 30
31.25 2008 1 1 25
19.2307701111 2008 0 0 28
17.7884616852 2008 1 0 27
19.2307701111 2008 0 0 31
28.8461532593 2008 0 0 33
49.0384597778 2008 1 1 31
51.9230766296 2008 1 1 31
36.0576934814 2008 1 0 31
20.1923084259 2008 1 1 33
28.8461532593 2008 1 0 25
53.0769233704 2008 1 0 32
28.8461532593 2008 1 1 25
29.3269233704 2008 1 0 34
5.7692308426 2008 0 1 31
20.6730766296 2008 1 0 30
12.0192308426 2008 1 0 32
11.0576925278 2008 1 1 27
11.1111106873 2008 0 1 33
11 2008 0 0 33
25.9615383148 2008 1 0 33
16.4165096283 2008 1 0 28
14.9572649002 2008 0 0 30
24.0384616852 2008 1 0 34
25.6410255432 2008 1 0 25
16.9413909912 2008 1 1 25
19.2307701111 2008 1 0 26
46.6346168518 2008 1 0 31
7.2115383148 2008 1 0 28
23.0769233704 2008 1 0 32
25 2008 1 1 25
27.8846149445 2008 0 0 32
26.9230766296 2008 1 1 31
4.8076925278 2008 1 0 29
26.2237758636 2008 0 0 29
15.8653850555 2008 1 1 30
18.4294872284 2008 1 0 25
28.8461532593 2008 0 0 31
21.6346149445 2008 0 1 29
15.3846149445 2008 1 1 28
13.221154213 2008 0 1 30
13.3547010422 2008 1 1 31
8.25 2008 0 1 33
14.5530147552 2008 0 1 30
30.2884616852 2008 1 0 28
19.2307701111 2008 1 1 29
17.9487171173 2008 0 0 33
26.4423084259 2008 0 0 34
43.2692298889 2008 1 0 33
24.0384616852 2008 0 0 34
19.2307701111 2008 1 1 32
10.4395608902 2008 0 1 30
23.0769233704 2008 0 0 32
14.4230766296 2008 0 0 27
20.6730766296 2008 0 1 27
23.8095245361 2008 1 0 34
21.6346149445 2008 0 0 27
12.0192308426 2008 0 1 26
8.5470085144 2008 0 1 33
11.133603096 2008 0 1 32
12.0192308426 2008 1 1 25
13.6363639832 2008 1 0 31
17.7884616852 2008 0 1 32
20.6730766296 2008 0 1 25
15 2008 1 0 33
14.4230766296 2008 1 1 32
21.6346149445 2008 0 0 33
5.2884616852 2008 0 0 33
22.5961532593 2008 1 1 34
18.2692298889 2008 0 0 31
17.3076915741 2008 1 1 34
17.6715183258 2008 1 1 27
20.1923084259 2008 1 0 28
15.7342653275 2008 0 0 29
9.6153850555 2008 0 1 34
10.5769233704 2008 0 0 32
4.3269228935 2008 0 1 29
5.7692308426 2008 0 1 30
10.096154213 2008 1 0 28
21.1428565979 2008 0 0 26
14.1941394806 2008 0 0 26
13.5627527237 2008 1 1 26
16.6666660309 2008 0 0 33
15 2008 1 0 26
16.875 2008 1 1 25
19.2307701111 2008 1 1 33
10.5769233704 2008 0 0 28
14.529914856 2008 0 0 32
12.745098114 2008 0 0 32
28.6764698029 2008 1 1 32
8 2008 1 1 27
19.9519233704 2008 0 0 28
9.6153850555 2008 0 0 33
33.6538467407 2008 1 1 32
13.4615383148 2008 0 0 34
9.2948713303 2008 0 0 28
38.9087638855 2008 1 1 29
19.2307701111 2008 1 1 32
14.9048080444 2008 0 0 32
19.2307701111 2008 1 0 25
17.6923084259 2008 1 0 33
17.7884616852 2008 0 0 32
21.2393169403 2008 1 0 32
17.0940170288 2008 1 1 29
17.7884616852 2008 1 1 34
7.2115383148 2008 0 0 28
20.5128211975 2008 1 1 27
14.4230766296 2008 0 0 34
46.1538467407 2008 1 0 32
12.0192308426 2008 1 1 29
8.653845787 2008 0 0 25
18.5897426605 2008 1 0 32
17.0940170288 2008 1 1 31
14.9572649002 2008 0 1 30
11.5384616852 2008 1 1 25
18.8461532593 2008 1 0 25
13.4615383148 2008 1 1 26
12.0192308426 2008 1 1 26
14.4230766296 2008 0 0 27
31.25 2008 1 1 33
12.9807691574 2008 0 0 32
8.1730766296 2008 0 1 30
16.1463546753 2008 0 0 32
15.8740386963 2008 0 0 33
10.5769233704 2008 0 1 26
19.2307701111 2008 0 1 29
6.6557693481 2008 0 0 27
17.7884616852 2008 0 0 31
13.6363639832 2008 0 0 31
9.7902097702 2008 0 1 31
10.3846149445 2008 0 0 25
15.3846149445 2008 0 1 30
16.8269233704 2008 0 0 27
19.2307701111 2008 1 0 32
20.3846149445 2008 1 1 30
21.1538467407 2008 1 0 32
21.6346149445 2008 1 1 32
8.5470085144 2008 0 0 31
13.4640522003 2008 0 0 28
14.903845787 2008 1 0 32
21.6346149445 2008 0 0 33
15 2008 0 0 25
11.0576925278 2008 1 1 32
13 2008 1 0 29
32.6923065186 2008 0 0 32
13.0208330154 2008 0 0 26
57.3076934814 2008 1 0 28
9.6153850555 2008 0 1 27
9.6153850555 2008 1 0 26
9.6153850555 2008 1 0 27
9.6153850555 2008 1 0 25
9.6153850555 2008 1 0 25
23.5 2008 0 1 34
12.0192308426 2008 0 0 29
18.2692298889 2008 0 0 27
38.4615402222 2008 1 0 34
11 2008 1 1 30
26.4423084259 2008 1 0 30
9.6153850555 2008 1 0 29
23.7854251862 2008 1 0 29
8.653845787 2008 0 1 28
11.6000003815 2008 0 0 31
17.3076915741 2008 1 1 25
9.6153850555 2008 1 0 25
10 2008 0 0 25
24.0384616852 2008 1 1 26
30.2884616852 2008 1 0 28
52 2008 0 0 33
32.9059829712 2008 1 1 28
28.8461532593 2008 1 1 27
3.5256409645 2008 0 0 29
24.5720272064 2008 1 0 29
26.9230766296 2008 1 1 30
45.5465583801 2008 0 1 25
5.7692308426 2008 0 1 32
20.8791217804 2008 1 1 33
15.3846149445 2008 0 1 31
29.9145298004 2008 0 0 29
24.0384616852 2008 1 1 28
29.0598297119 2008 1 0 33
42.3076934814 2008 1 0 33
60.0961532593 2008 1 0 33
28.8461532593 2008 0 0 30
25.6410255432 2008 1 0 27
40.8653831482 2008 1 1 26
20.6730766296 2008 1 1 27
19.2307701111 2008 0 0 26
21.6783218384 2008 1 0 30
19.2307701111 2008 0 0 29
15.7342653275 2008 1 1 28
19.7115383148 2008 1 0 27
28.8461532593 2008 1 1 28
12.0192308426 2008 1 1 28
8.1730766296 2008 1 0 28
48.0769233704 2008 1 0 25
7.5910930634 2008 0 0 25
10.096154213 2008 0 1 26
27.4038467407 2008 1 0 25
14.6153850555 2008 1 0 30
27.4725265503 2008 1 1 26
62.5 2008 1 0 33
12.0192308426 2008 0 0 28
27.7777786255 2008 1 1 25
57.6923065186 2008 1 1 31
48.0769233704 2008 1 0 32
10.4838705063 2008 1 1 27
8.3333330154 2008 0 0 28
6.1538462639 2008 0 1 26
12.8571424484 2008 0 1 26
12.8571424484 2008 0 0 25
26.4423084259 2008 1 0 29
21.6346149445 2008 0 1 34
32.0512809753 2008 1 1 27
19.7115383148 2008 1 0 25
11.25 2008 0 1 27
26.9230766296 2008 0 0 30
12.5 2008 0 0 27
28.847114563 2008 1 1 34
17.9487171173 2008 1 1 32
21.9141330719 2008 1 1 30
14.4230766296 2008 0 0 34
12.0192308426 2008 0 0 28
21.5384616852 2008 1 0 30
10.8888893127 2008 1 1 30
23.0769233704 2008 1 1 30
31.25 2008 1 1 30
52.8846168518 2008 1 1 34
23.0769233704 2008 1 1 33
50.4807701111 2008 1 1 32
18.0288467407 2008 1 0 31
19.2307701111 2008 0 1 28
8.8541669846 2008 0 0 31
21.6346149445 2008 0 0 34
14.8148145676 2008 0 0 33
25.4807701111 2008 1 1 32
36.0576934814 2008 1 0 31
32.6923065186 2008 1 1 31
14.903845787 2008 0 0 28
16.3461532593 2008 0 0 30
5.7692308426 2008 0 1 25
13.4615383148 2008 0 0 27
15.7692308426 2008 1 0 31
12 2008 0 0 31
6.25 2008 0 1 33
27.4725265503 2008 1 1 34
20 2008 1 1 26
21.367521286 2008 0 0 28
4.8086538315 2008 1 1 30
13.1578950882 2008 0 1 30
22.2115383148 2008 1 0 26
21.6346149445 2008 1 1 30
13.5627527237 2008 1 1 30
28.8461532593 2008 1 0 31
30.7692298889 2008 1 0 29
19.2307701111 2008 0 1 32
12.5 2008 0 0 32
23.7762241364 2008 0 0 34
21.1538467407 2008 1 0 33
7.6923074722 2008 0 0 33
35.5029602051 2008 0 0 32
14.4230766296 2008 1 1 25
17.2064781189 2008 1 1 31
28.1753139496 2008 1 0 32
31.25 2008 1 1 34
18.0288467407 2008 1 0 31
16.8269233704 2008 1 0 27
20.7692298889 2008 1 1 25
32.9670333862 2008 0 0 29
19.2307701111 2008 0 1 29
34.3923072815 2008 0 0 31
19.7115383148 2008 0 1 27
11.5384616852 2008 0 0 29
15.3846149445 2008 1 1 34
16.4835166931 2008 0 1 33
43.2692298889 2008 1 0 30
24.7863254547 2008 1 1 25
10 2008 1 0 25
8.1730766296 2008 0 1 26
26.4957256317 2008 1 0 29
14.4230766296 2008 1 0 29
29.0598297119 2008 0 1 27
24.0740737915 2008 0 1 29
24.0384616852 2008 1 0 34
10.5769233704 2008 1 1 27
33.6538467407 2008 1 0 26
16.8269233704 2008 1 1 32
12.0192308426 2008 1 1 33
10.0971155167 2008 0 0 32
5.2884616852 2008 1 0 26
25.6410255432 2008 1 0 25
31.25 2008 1 0 33
10 2008 0 1 32
27.6134128571 2008 1 0 27
24.65483284 2008 1 1 28
24.0384616852 2008 1 1 28
35.7142868042 2008 1 0 28
29.1060295105 2008 1 0 26
17.6442298889 2008 1 1 27
5.4945054054 2008 0 1 30
46.6346168518 2008 1 1 34
15.3846149445 2008 1 1 28
19.2307701111 2008 1 1 26
15 2008 0 0 26
9.6163463593 2008 1 0 27
14.4230766296 2008 0 0 31
38.4615402222 2008 1 0 32
26.4423084259 2008 1 1 29
6.9711537361 2008 0 0 31
12.0192308426 2008 0 0 25
7.2115383148 2008 0 0 25
20.6730766296 2008 0 0 28
12.4750518799 2008 1 1 33
28.8461532593 2008 1 0 30
15.8653850555 2008 0 1 34
28.2051277161 2008 0 0 34
30.4487171173 2008 0 0 30
22.5961532593 2008 0 1 27
13.4615383148 2008 0 0 28
12.6923074722 2008 0 0 26
17.3992671967 2008 0 1 28
16.8269233704 2008 0 1 33
18.2692298889 2008 0 0 32
23.0769233704 2008 0 0 31
8.1730766296 2008 1 0 30
23.8461532593 2008 1 1 34
9.5 2008 1 0 27
19.6779956818 2008 1 0 25
28.8461532593 2008 0 0 29
17.0329666138 2008 0 1 31
14.4230766296 2008 0 0 30
12.0192308426 2008 0 1 33
35.059135437 2008 0 0 32
20.6730766296 2008 1 0 28
35.0961532593 2008 1 1 27
58 2008 1 0 30
14.5833330154 2008 0 0 33
6.9711537361 2008 0 0 29
17.6923084259 2008 1 0 31
14.9572649002 2008 1 0 29
19.2307701111 2008 0 0 33
20.1923084259 2008 0 0 34
18.75 2008 0 1 29
15.8653850555 2008 0 1 29
16.8269233704 2008 0 0 28
20.7692298889 2008 1 1 32
23.0769233704 2008 1 1 34
60.0961532593 2008 1 0 32
29.5 2008 0 0 29
16.2692298889 2008 0 0 32
16.3461532593 2008 0 0 31
19.2307701111 2008 1 0 25
18.75 2008 1 1 33
12.9807691574 2008 0 1 32
47.7524986267 2008 1 0 30
25 2008 0 0 28
5.4807691574 2008 1 1 26
21.5384616852 2008 0 0 30
12.8205127716 2008 1 1 29
29.8076915741 2008 0 0 31
28.8461532593 2008 0 0 30
25 2008 0 0 25
21.6346149445 2008 0 0 34
16.8269233704 2008 0 0 33
38.4615402222 2008 1 0 29
12.0192308426 2008 0 1 27
42.3076934814 2008 1 0 33
27.6923084259 2008 1 1 27
36.7132873535 2008 1 1 30
48.0769233704 2008 1 0 31
22.1153850555 2008 1 1 28
21.1538467407 2008 1 1 28
24.0384616852 2008 1 1 26
21.4529914856 2008 1 1 34
26.4423084259 2008 1 0 29
12.0879125595 2008 0 1 31
22.1153850555 2008 1 1 27
13.4615383148 2008 1 1 28
7.8947367668 2008 0 0 27
16.8269233704 2008 1 0 27
40.3846168518 2008 1 0 28
24.7252750397 2008 1 1 29
31.2509613037 2008 1 0 34
12.0201921463 2008 1 0 31
26.9230766296 2008 1 1 28
9.0016365051 2008 1 1 32
23.4265727997 2008 1 0 30
27.7777786255 2008 0 1 31
38.4615402222 2008 1 0 33
48.0769233704 2008 1 0 34
21.3541660309 2008 1 1 33
26.9230766296 2008 1 1 28
27.4725265503 2008 1 1 29
26.9230766296 2008 1 1 25
21.3286705017 2008 1 1 26
18.8461532593 2008 1 0 34
33.6538467407 2008 1 1 29
29.4871788025 2008 1 0 29
27.3076915741 2008 1 0 28
48.0769233704 2008 0 1 28
23.0769233704 2008 1 0 27
14.4230766296 2008 1 1 28
26.4423084259 2008 1 0 32
17.0940170288 2008 1 0 30
26.4423084259 2008 1 0 32
36.3247871399 2008 0 0 31
7.2115383148 2008 0 0 32
24.0384616852 2008 0 0 27
11.5384616852 2008 0 1 32
24.0394229889 2008 0 0 27
14.5348834991 2008 0 0 28
12.0192308426 2008 0 1 27
15.3846149445 2008 1 1 25
14.4230766296 2008 1 1 34
26.4423084259 2008 1 1 34
37.9554672241 2008 1 1 27
18.8461532593 2008 1 1 27
31.7460308075 2008 1 0 27
24.0384616852 2008 1 1 28
52.8846168518 2008 1 1 33
12.5 2008 0 1 28
18.2692298889 2008 0 0 25
15.8862876892 2008 0 1 31
19.2307701111 2008 0 0 33
15.3846149445 2008 0 1 25
21.6346149445 2008 1 1 32
12.8205127716 2008 1 0 27
9.9358978271 2008 1 1 28
14.4230766296 2008 1 1 31
14.4230766296 2008 1 0 26
7.9670329094 2008 0 0 26
27.8846149445 2008 1 1 30
18.1122455597 2008 1 1 31
15.3846149445 2008 0 0 29
13.4615383148 2008 0 0 34
28.8461532593 2008 0 0 30
8.1730766296 2008 0 1 27
22.2355766296 2008 1 1 29
28.8461532593 2008 1 0 30
34.6153831482 2008 1 0 32
14.529914856 2008 1 0 30
36.5384597778 2008 0 1 32
60.0961532593 2008 1 0 34
24.0384616852 2008 1 1 32
24.0384616852 2008 1 1 29
27.7777786255 2008 1 0 31
7.8125 2008 0 0 27
5.1538462639 2008 0 1 32
10.096154213 2008 0 1 32
17.3076915741 2008 1 1 28
24.5192298889 2008 1 0 34
10.096154213 2008 0 0 25
16.8269233704 2008 1 1 25
10 2008 0 0 33
20.1923084259 2008 1 1 26
20.1923084259 2008 0 0 27
17.0192298889 2008 1 1 26
31.25 2008 1 0 34
12.0192308426 2008 1 1 30
5.0576925278 2008 0 0 27
36.5384597778 2008 1 0 34
39.7058830261 2008 1 0 27
13.4615383148 2008 1 1 25
13.4615383148 2008 0 0 25
19.2307701111 2008 1 1 26
10.9615383148 2008 0 1 34
74.7863235474 2008 1 1 34
12.9807691574 2008 0 0 31
32.2115402222 2008 1 1 34
19.2307701111 2008 0 0 34
14.4230766296 2008 1 1 32
28.8461532593 2008 1 0 31
28.8461532593 2008 1 0 31
22.5961532593 2008 0 0 33
34.1346168518 2008 1 0 33
11.5384616852 2008 0 1 33
17.5824184418 2008 0 1 28
16.8269233704 2008 0 1 33
32.6923065186 2008 1 1 27
23.0769233704 2008 1 0 26
19.7115383148 2008 0 1 29
15.3846149445 2008 1 1 33
19.2307701111 2008 0 0 28
19.2307701111 2008 0 0 32
16.8269233704 2008 0 0 31
16.3461532593 2008 1 0 34
16.3461532593 2008 0 0 29
19.7115383148 2008 1 0 27
22.5961532593 2008 1 0 26
13.1578950882 2008 0 0 26
49.5238113403 2008 0 0 32
9.2307691574 2008 0 1 25
9.9469499588 2008 0 0 33
19.7115383148 2008 0 0 31
19.2307701111 2008 0 0 34
19.2307701111 2008 1 1 29
18.6813182831 2008 1 1 32
31.5412082672 2008 1 1 33
11.5384616852 2008 0 1 26
38.0341873169 2008 1 0 30
13.7362632751 2008 0 1 25
15.8653850555 2008 1 1 31
45.6730766296 2008 0 0 30
11.9230766296 2008 0 0 30
16.0256404877 2008 0 1 25
12.5 2008 0 0 32
17.6336536407 2008 1 0 27
8.7912092209 2008 0 1 34
26.4423084259 2008 1 0 34
31.25 2008 1 1 28
20.1923084259 2008 0 0 34
15.1821861267 2008 0 1 29
15.5482816696 2008 0 1 29
20 2008 0 1 29
31.4685306549 2008 1 0 30
19.2307701111 2008 0 1 30
33.6538467407 2008 1 0 32
24.0384616852 2008 0 0 33
22.1153850555 2008 1 1 27
11.5384616852 2008 1 1 25
21.6346149445 2008 0 0 29
14.4230766296 2008 0 1 29
6.9444446564 2008 0 1 28
13.4615383148 2008 0 0 26
20.1923084259 2008 1 1 34
13.1118879318 2008 0 0 32
34.6153831482 2008 1 0 33
10.1214570999 2008 0 1 31
18.75 2008 1 1 25
14.8958330154 2008 0 0 28
17.7884616852 2008 1 1 26
29.4471149445 2008 1 0 29
12.0192308426 2008 1 0 27
10 2008 0 0 26
28.3653850555 2008 1 1 33
16.8278846741 2008 0 0 34
15.8653850555 2008 1 1 28
14.4230766296 2008 0 1 29
7.0850200653 2008 0 1 30
9.4505491257 2008 0 1 32
24.5726490021 2008 1 0 27
23.5042743683 2008 1 1 31
9.6153850555 2008 0 1 25
21.2307701111 2008 1 1 31
5.2005496025 2008 0 1 31
5.2005496025 2008 0 1 31
28.137254715 2008 0 0 32
16.1943321228 2008 0 1 28
30.7692298889 2008 1 0 32
21.6346149445 2008 1 0 32
40.3846168518 2008 1 0 29
14.4230766296 2008 0 1 33
15.9855766296 2008 1 1 33
17.7125511169 2008 0 1 29
14.4230766296 2008 1 0 28
15.3846149445 2008 0 1 32
5.9634613991 2008 0 0 29
12.0879125595 2008 0 1 34
26.9230766296 2008 0 0 27
16.8269233704 2008 1 1 29
18.2445755005 2008 0 1 31
17.0940170288 2008 0 1 30
16.8269233704 2008 0 1 32
21.1538467407 2008 1 1 28
23.626373291 2008 1 1 27
18.2692298889 2008 0 0 26
21.6346149445 2008 0 0 32
14.6761131287 2008 0 1 33
31.9230766296 2008 1 1 33
8.136095047 2008 0 1 34
24.0384616852 2008 1 1 29
16.8269233704 2008 1 1 29
13.4615383148 2008 0 0 29
39.4230766296 2008 1 1 31
25.9615383148 2008 0 0 33
18.2692298889 2008 0 0 28
11.25 2008 0 0 33
23.5576915741 2008 1 0 27
6 2008 0 1 31
12.5 2008 0 0 26
5.1615386009 2008 0 1 30
28.8461532593 2008 1 0 33
33.6538467407 2008 1 1 31
8.653845787 2008 0 0 32
15.3846149445 2008 1 1 25
28.8461532593 2008 0 0 34
11.0576925278 2008 0 1 31
19.2307701111 2008 1 1 29
29.9145298004 2008 1 0 29
29.9145298004 2008 1 1 29
9.6163463593 2008 1 1 31
19.2307701111 2008 1 1 26
24.0384616852 2008 0 1 33
16.8269233704 2008 1 0 33
4.8076925278 2008 1 1 32
13.4615383148 2008 0 1 31
10.096154213 2008 0 0 32
11.5384616852 2008 0 1 30
32.2115402222 2008 0 0 34
14.4230766296 2008 0 0 33
9.6197118759 2008 0 1 30
28.8461532593 2008 1 1 28
9.6153850555 2008 0 0 27
48.0769233704 2008 0 1 31
7.2115383148 2008 0 0 29
9.8901100159 2008 0 0 31
23.5042743683 2008 1 0 30
26.4423084259 2008 1 0 27
21.6346149445 2008 1 1 29
55.2373161316 2008 1 0 34
28.632478714 2008 1 0 25
15.1821861267 2008 0 0 30
14.4230766296 2008 0 1 33
15.3846149445 2008 1 0 25
21.9230766296 2008 0 1 34
23.0769233704 2008 0 1 28
20.6043949127 2008 0 0 32
36.0576934814 2008 1 1 33
38.4615402222 2008 1 1 31
19.2307701111 2008 1 0 25
19.2307701111 2008 0 0 30
30.0480766296 2008 1 0 31
4.7385621071 2008 1 1 29
32.6923065186 2008 1 1 27
24.0384616852 2008 1 1 32
16.3461532593 2008 1 0 34
18.6824169159 2008 0 1 30
7.5 2008 0 0 30
22.1893482208 2008 1 1 31
14.4230766296 2008 0 0 32
23.0769233704 2008 1 1 32
48.0778846741 2008 1 0 32
14.4230766296 2008 1 1 25
34.1880340576 2008 1 0 31
20.1923084259 2008 1 0 33
28.8461532593 2008 1 1 27
12.5 2008 0 0 34
23.3173084259 2008 1 0 34
27.4038467407 2008 1 1 29
20.1923084259 2008 0 0 26
28.632478714 2008 1 0 31
23.0769233704 2008 0 1 26
39.2307701111 2008 1 0 32
12.0879125595 2008 1 0 28
8 2008 0 1 27
11.0946741104 2008 1 1 28
17.0940170288 2008 1 1 31
19.2307701111 2008 1 0 30
12.8205127716 2008 1 0 28
32.6923065186 2008 1 1 26
26.4423084259 2008 1 1 26
48.0769233704 2008 1 1 34
26.9230766296 2008 1 1 34
22.6244335175 2008 1 0 26
20.1923084259 2008 1 1 29
19.2307701111 2008 1 0 27
13.4615383148 2008 0 0 25
25 2008 1 1 28
25.6410255432 2008 1 1 30
27.4725265503 2008 1 1 31
28.8461532593 2008 1 1 31
28.8461532593 2008 1 1 30
15.5925159454 2008 1 0 31
38.4621810913 2008 1 0 26
42.735042572 2008 1 1 32
15.6985874176 2008 1 1 27
27.7777786255 2008 1 0 25
21.6346149445 2008 1 0 28
24.0384616852 2008 1 1 34
16.4835166931 2008 1 0 34
21.6346149445 2008 1 0 33
32.6923065186 2008 1 1 27
52.4475517273 2008 1 0 33
10.096154213 2008 0 0 30
12.8205127716 2008 0 0 28
19.2307701111 2008 1 1 31
19.2307701111 2008 0 0 33
24.4090232849 2008 1 1 26
19.2307701111 2008 1 1 25
13.4615383148 2008 1 1 25
55.2884597778 2008 1 1 32
28.8461532593 2008 1 0 30
24.0384616852 2008 1 1 25
40.8653831482 2008 1 0 33
16.6666660309 2008 1 0 29
21.0365390778 2008 1 1 26
44.3786964417 2008 1 1 27
23.4375 2008 1 1 28
13.4615383148 2008 1 0 27
46.1538467407 2008 1 1 32
57.6923065186 2008 1 1 33
20.6730766296 2008 0 0 32
18.0913467407 2008 1 0 31
13.4615383148 2008 0 0 29
7.4786324501 2008 1 1 25
6.7307691574 2008 0 0 29
19.2307701111 2008 0 0 28
2.8846154213 2008 0 0 28
40.0641021729 2008 1 0 30
9.6153850555 2008 0 0 33
18.0288467407 2008 0 0 28
13.9423074722 2008 0 0 26
24.0384616852 2008 0 0 30
11.0586538315 2008 1 0 33
9.6153850555 2008 0 1 30
19.2307701111 2008 1 0 31
48.0769233704 2008 1 1 31
19.2307701111 2008 1 0 29
26.9230766296 2008 1 0 25
